bigram,count,sem,mean,std,skew,kurtosis
ph,165,0.0164312867568,0.299848484848,0.211063699958,2.67886909508,9.80773496803
pi,695,0.00719973023989,0.259041727848,0.189805427455,4.56317529683,27.2146912265
pl,1660,0.00265036730381,0.202859035975,0.107984173669,6.48756059241,91.4527565626
pm,75,0.0302705722765,0.30496,0.262150845785,3.70766603522,14.9807522231
po,1252,0.00389523207413,0.211681309159,0.137827380462,5.22473930014,57.3342071078
pp,575,0.00454931326383,0.174492172822,0.109088699801,8.58191328541,107.455332246
pr,1121,0.00452381664984,0.191644959857,0.15146343469,4.09822489452,27.0766645991
ps,243,0.0106202716281,0.239370369687,0.165553650451,3.22617439713,14.6304699812
pt,307,0.0132980252144,0.288771986971,0.233000224684,3.70373205751,22.3633854582
pu,359,0.0133535010154,0.259220055928,0.253012727314,8.09832476525,91.3058537092
py,108,0.0220946525906,0.292490741412,0.229614365175,4.00785521628,22.7698382114
qu,370,0.00701836585153,0.201356756757,0.135000962639,3.7617511144,25.5222988441
ra,2173,0.00466588701693,0.224265531397,0.217502414,10.6596306678,212.500183741
rb,76,0.0368900098331,0.403342105263,0.321599649777,3.02022601322,11.9426184783
rc,526,0.0125662356986,0.36430608365,0.288202718736,6.78394568236,68.2356938025
rd,1811,0.00456583790838,0.290797349894,0.194303093346,4.64240423114,35.7478759567
re,10826,0.00129006768999,0.156848882102,0.134229047915,7.86054930729,112.335391124
rf,183,0.0262934739973,0.30781420765,0.35569152337,6.36956578451,50.8583340822
rg,243,0.0200762596396,0.365320987654,0.312957915496,3.9133891159,21.339699183
ri,3075,0.00321360093343,0.209906341314,0.178202792346,4.89133959794,39.6480644482
rk,845,0.0099818191444,0.235700592957,0.290160339898,11.4640471081,207.692738309
rl,541,0.0103593668899,0.250491683047,0.240952727639,4.62145297091,32.6565708641
rm,440,0.0131172230271,0.27821818213,0.275149191485,3.76553717423,19.1549207463
rn,1012,0.00645230899139,0.239176877014,0.205260514508,4.33468910453,32.2461260157
ro,3252,0.00329510477427,0.176645448775,0.187907665409,10.4938639198,192.072485574
